,cluster,0,1
0,0,30.349800217470097,-97.7598040231968
1,1,30.26500609196112,-97.742649905473
2,2,30.255680297860682,-97.77174168804324
3,3,30.32281770464732,-97.71528707242274
4,4,30.289646169937388,-97.74647024830097
5,5,30.21168210176071,-97.68178157493415
6,6,30.24501358432875,-97.72288918871625
7,7,30.285085020474785,-97.71123103576645
8,8,30.384975492729016,-97.72438079771659
9,9,30.22642424276698,-97.75975172483996
